state,year,month,medium,political_lean,diet_threshold,partisanship_scenario,age_group,value
AR,2015,2,tv,R,75,lenient,under 18,6.8
AR,2015,3,tv,R,75,lenient,under 18,11.8
AR,2015,4,tv,R,75,lenient,under 18,16.8
AR,2015,1,online,L,75,lenient,under 18,0.8
AR,2015,2,online,L,75,lenient,under 18,2.8
AR,2015,3,online,L,75,lenient,under 18,4.8
AR,2015,4,online,L,75,lenient,under 18,6.8
AR,2015,1,online,R,75,lenient,under 18,0.3
AR,2015,2,online,R,75,lenient,under 18,0.8
AR,2015,3,online,R,75,lenient,under 18,1.8
AR,2015,4,online,R,75,lenient,under 18,2.8
AR,2015,1,tv,L,75,strict,under 18,6.4
AR,2015,2,tv,L,75,strict,under 18,16.4
AR,2015,3,tv,L,75,strict,under 18,26.4
AR,2015,4,tv,L,75,strict,under 18,36.4
AR,2015,1,tv,R,75,strict,under 18,1.4
AR,2015,2,tv,R,75,strict,under 18,6.4
AR,2015,3,tv,R,75,strict,under 18,11.4
AR,2015,4,tv,R,75,strict,under 18,16.4
AR,2015,1,online,L,75,strict,under 18,0.4
AR,2015,2,online,L,75,strict,under 18,2.4
AR,2015,3,online,L,75,strict,under 18,4.4
AR,2015,4,online,L,75,strict,under 18,6.4
AR,2015,1,online,R,75,strict,under 18,0
AR,2015,2,online,R,75,strict,under 18,0.4
AR,2015,3,online,R,75,strict,under 18,1.4
AR,2015,4,online,R,75,strict,under 18,2.4
AZ,2015,1,tv,L,50,lenient,under 18,10
AZ,2015,2,tv,L,50,lenient,under 18,20
AZ,2015,3,tv,L,50,lenient,under 18,30
AZ,2015,4,tv,L,50,lenient,under 18,40
AZ,2015,1,tv,R,50,lenient,under 18,5
AZ,2015,2,tv,R,50,lenient,under 18,10
AZ,2015,3,tv,R,50,lenient,under 18,15
AZ,2015,4,tv,R,50,lenient,under 18,20
AZ,2015,1,online,L,50,lenient,under 18,2
AZ,2015,2,online,L,50,lenient,under 18,4
AZ,2015,3,online,L,50,lenient,under 18,6
AZ,2015,4,online,L,50,lenient,under 18,8
AZ,2015,1,online,R,50,lenient,under 18,1
AZ,2015,2,online,R,50,lenient,under 18,2
AZ,2015,3,online,R,50,lenient,under 18,3
AZ,2015,4,online,R,50,lenient,under 18,4
AZ,2015,1,tv,L,50,strict,under 18,9.6
AZ,2015,2,tv,L,50,strict,under 18,19.6
AZ,2015,3,tv,L,50,strict,under 18,29.6
AZ,2015,4,tv,L,50,strict,under 18,39.6
AZ,2015,1,tv,R,50,strict,under 18,4.6
AZ,2015,2,tv,R,50,strict,under 18,9.6
AZ,2015,3,tv,R,50,strict,under 18,14.6
AZ,2015,4,tv,R,50,strict,under 18,19.6
AZ,2015,1,online,L,50,strict,under 18,1.6
AZ,2015,2,online,L,50,strict,under 18,3.6
AZ,2015,3,online,L,50,strict,under 18,5.6
AZ,2015,4,online,L,50,strict,under 18,7.6
AZ,2015,1,online,R,50,strict,under 18,0.6
AZ,2015,2,online,R,50,strict,under 18,1.6
AZ,2015,3,online,R,50,strict,under 18,2.6
AZ,2015,4,online,R,50,strict,under 18,3.6
AZ,2015,1,tv,L,75,lenient,under 18,7
AZ,2015,2,tv,L,75,lenient,under 18,17
AZ,2015,3,tv,L,75,lenient,under 18,27
AZ,2015,4,tv,L,75,lenient,under 18,37
AZ,2015,1,tv,R,75,lenient,under 18,2
AZ,2015,2,tv,R,75,lenient,under 18,7
AZ,2015,3,tv,R,75,lenient,under 18,12
AZ,2015,4,tv,R,75,lenient,under 18,17
AZ,2015,1,online,L,75,lenient,under 18,1
AZ,2015,2,online,L,75,lenient,under 18,3
AZ,2015,3,online,L,75,lenient,under 18,5
AZ,2015,4,online,L,75,lenient,under 18,7
AZ,2015,1,online,R,75,lenient,under 18,0.5
AZ,2015,2,online,R,75,lenient,under 18,1
AZ,2015,3,online,R,75,lenient,under 18,2
AZ,2015,4,online,R,75,lenient,under 18,3
AZ,2015,1,tv,L,75,strict,under 18,6.6
AZ,2015,2,tv,L,75,strict,under 18,16.6
AZ,2015,3,tv,L,75,strict,under 18,26.6
AZ,2015,4,tv,L,75,strict,under 18,36.6
AZ,2015,1,tv,R,75,strict,under 18,1.6
AZ,2015,2,tv,R,75,strict,under 18,6.6
AZ,2015,3,tv,R,75,strict,under 18,11.6
AZ,2015,4,tv,R,75,strict,under 18,16.6
AZ,2015,1,online,L,75,strict,under 18,0.6
AZ,2015,2,online,L,75,strict,under 18,2.6
AZ,2015,3,online,L,75,strict,under 18,4.6
AZ,2015,4,online,L,75,strict,under 18,6.6
AZ,2015,1,online,R,75,strict,under 18,0.1
AZ,2015,2,online,R,75,strict,under 18,0.6
AZ,2015,3,online,R,75,strict,under 18,1.6
AZ,2015,4,online,R,75,strict,under 18,2.6
CA,2015,1,tv,L,50,lenient,under 18,9.8
CA,2015,2,tv,L,50,lenient,under 18,19.8
CA,2015,3,tv,L,50,lenient,under 18,29.8
CA,2015,4,tv,L,50,lenient,under 18,39.8
CA,2015,1,tv,R,50,lenient,under 18,4.8
CA,2015,2,tv,R,50,lenient,under 18,9.8
CA,2015,3,tv,R,50,lenient,under 18,14.8
CA,2015,4,tv,R,50,lenient,under 18,19.8
CA,2015,1,online,L,50,lenient,under 18,1.8
CA,2015,2,online,L,50,lenient,under 18,3.8
CA,2015,3,online,L,50,lenient,under 18,5.8
CA,2015,4,online,L,50,lenient,under 18,7.8
CA,2015,1,online,R,50,lenient,under 18,0.8
CA,2015,2,online,R,50,lenient,under 18,1.8
CA,2015,3,online,R,50,lenient,under 18,2.8
CA,2015,4,online,R,50,lenient,under 18,3.8
CA,2015,1,tv,L,50,strict,under 18,9.4
CA,2015,2,tv,L,50,strict,under 18,19.4
CA,2015,3,tv,L,50,strict,under 18,29.4
CA,2015,4,tv,L,50,strict,under 18,39.4
CA,2015,1,tv,R,50,strict,under 18,4.4
CA,2015,2,tv,R,50,strict,under 18,9.4
CA,2015,3,tv,R,50,strict,under 18,14.4
CA,2015,4,tv,R,50,strict,under 18,19.4
CA,2015,1,online,L,50,strict,under 18,1.4
CA,2015,2,online,L,50,strict,under 18,3.4
CA,2015,3,online,L,50,strict,under 18,5.4
CA,2015,4,online,L,50,strict,under 18,7.4
CA,2015,1,online,R,50,strict,under 18,0.4
CA,2015,2,online,R,50,strict,under 18,1.4
CA,2015,3,online,R,50,strict,under 18,2.4
CA,2015,4,online,R,50,strict,under 18,3.4
CA,2015,1,tv,L,75,lenient,under 18,6.8
CA,2015,2,tv,L,75,lenient,under 18,16.8
CA,2015,3,tv,L,75,lenient,under 18,26.8
CA,2015,4,tv,L,75,lenient,under 18,36.8
CA,2015,1,tv,R,75,lenient,under 18,1.8
CA,2015,2,tv,R,75,lenient,under 18,6.8
CA,2015,3,tv,R,75,lenient,under 18,11.8
CA,2015,4,tv,R,75,lenient,under 18,16.8
CA,2015,1,online,L,75,lenient,under 18,0.8
CA,2015,2,online,L,75,lenient,under 18,2.8
CA,2015,3,online,L,75,lenient,under 18,4.8
CA,2015,4,online,L,75,lenient,under 18,6.8
CA,2015,1,online,R,75,lenient,under 18,0.3
CA,2015,2,online,R,75,lenient,under 18,0.8
CA,2015,3,online,R,75,lenient,under 18,1.8
CA,2015,4,online,R,75,lenient,under 18,2.8
CA,2015,1,tv,L,75,strict,under 18,6.4
CA,2015,2,tv,L,75,strict,under 18,16.4
CA,2015,3,tv,L,75,strict,under 18,26.4
CA,2015,4,tv,L,75,strict,under 18,36.4
CA,2015,1,tv,R,75,strict,under 18,1.4
CA,2015,2,tv,R,75,strict,under 18,6.4
CA,2015,3,tv,R,75,strict,under 18,11.4
CA,2015,4,tv,R,75,strict,under 18,16.4
CA,2015,1,online,L,75,strict,under 18,0.4
CA,2015,2,online,L,75,strict,under 18,2.4
CA,2015,3,online,L,75,strict,under 18,4.4
CA,2015,4,online,L,75,strict,under 18,6.4
CA,2015,1,online,R,75,strict,under 18,0
CA,2015,2,online,R,75,strict,under 18,0.4
CA,2015,3,online,R,75,strict,under 18,1.4
CA,2015,4,online,R,75,strict,under 18,2.4
CO,2015,1,tv,L,50,lenient,under 18,10
CO,2015,2,tv,L,50,lenient,under 18,20
CO,2015,3,tv,L,50,lenient,under 18,30
CO,2015,4,tv,L,50,lenient,under 18,40
CO,2015,1,tv,R,50,lenient,under 18,5
CO,2015,2,tv,R,50,lenient,under 18,10
CO,2015,3,tv,R,50,lenient,under 18,15
CO,2015,4,tv,R,50,lenient,under 18,20
CO,2015,1,online,L,50,lenient,under 18,2
CO,2015,2,online,L,50,lenient,under 18,4
CO,2015,3,online,L,50,lenient,under 18,6
CO,2015,4,online,L,50,lenient,under 18,8
CO,2015,1,online,R,50,lenient,under 18,1
CO,2015,2,online,R,50,lenient,under 18,2
CO,2015,3,online,R,50,lenient,under 18,3
CO,2015,4,online,R,50,lenient,under 18,4
CO,2015,1,tv,L,50,strict,under 18,9.6
CO,2015,2,tv,L,50,strict,under 18,19.6
CO,2015,3,tv,L,50,strict,under 18,29.6
CO,2015,4,tv,L,50,strict,under 18,39.6
CO,2015,1,tv,R,50,strict,under 18,4.6
CO,2015,2,tv,R,50,strict,under 18,9.6
CO,2015,3,tv,R,50,strict,under 18,14.6
CO,2015,4,tv,R,50,strict,under 18,19.6
CO,2015,1,online,L,50,strict,under 18,1.6
CO,2015,2,online,L,50,strict,under 18,3.6
CO,2015,3,online,L,50,strict,under 18,5.6
CO,2015,4,online,L,50,strict,under 18,7.6
CO,2015,1,online,R,50,strict,under 18,0.6
CO,2015,2,online,R,50,strict,under 18,1.6
CO,2015,3,online,R,50,strict,under 18,2.6
CO,2015,4,online,R,50,strict,under 18,3.6
CO,2015,1,tv,L,75,lenient,under 18,7
CO,2015,2,tv,L,75,lenient,under 18,17
CO,2015,3,tv,L,75,lenient,under 18,27
CO,2015,4,tv,L,75,lenient,under 18,37
CO,2015,1,tv,R,75,lenient,under 18,2
CO,2015,2,tv,R,75,lenient,under 18,7
CO,2015,3,tv,R,75,lenient,under 18,12
CO,2015,4,tv,R,75,lenient,under 18,17
CO,2015,1,online,L,75,lenient,under 18,1
CO,2015,2,online,L,75,lenient,under 18,3
CO,2015,3,online,L,75,lenient,under 18,5
CO,2015,4,online,L,75,lenient,under 18,7
CO,2015,1,online,R,75,lenient,under 18,0.5
CO,2015,2,online,R,75,lenient,under 18,1
CO,2015,3,online,R,75,lenient,under 18,2
CO,2015,4,online,R,75,lenient,under 18,3
CO,2015,1,tv,L,75,strict,under 18,6.6
CO,2015,2,tv,L,75,strict,under 18,16.6
CO,2015,3,tv,L,75,strict,under 18,26.6
CO,2015,4,tv,L,75,strict,under 18,36.6
CO,2015,1,tv,R,75,strict,under 18,1.6
CO,2015,2,tv,R,75,strict,under 18,6.6
CO,2015,3,tv,R,75,strict,under 18,11.6
CO,2015,4,tv,R,75,strict,under 18,16.6
CO,2015,1,online,L,75,strict,under 18,0.6
CO,2015,2,online,L,75,strict,under 18,2.6
CO,2015,3,online,L,75,strict,under 18,4.6
CO,2015,4,online,L,75,strict,under 18,6.6
CO,2015,1,online,R,75,strict,under 18,0.1
CO,2015,2,online,R,75,strict,under 18,0.6
CO,2015,3,online,R,75,strict,under 18,1.6
CO,2015,4,online,R,75,strict,under 18,2.6
CT,2015,1,tv,L,50,lenient,under 18,9.8
CT,2015,2,tv,L,50,lenient,under 18,19.8
CT,2015,3,tv,L,50,lenient,under 18,29.8
CT,2015,4,tv,L,50,lenient,under 18,39.8
CT,2015,1,tv,R,50,lenient,under 18,4.8
CT,2015,2,tv,R,50,lenient,under 18,9.8
CT,2015,3,tv,R,50,lenient,under 18,14.8
CT,2015,4,tv,R,50,lenient,under 18,19.8
CT,2015,1,online,L,50,lenient,under 18,1.8
CT,2015,2,online,L,50,lenient,under 18,3.8
CT,2015,3,online,L,50,lenient,under 18,5.8
CT,2015,4,online,L,50,lenient,under 18,7.8
CT,2015,1,online,R,50,lenient,under 18,0.8
CT,2015,2,online,R,50,lenient,under 18,1.8
CT,2015,3,online,R,50,lenient,under 18,2.8
CT,2015,4,online,R,50,lenient,under 18,3.8
CT,2015,1,tv,L,50,strict,under 18,9.4
CT,2015,2,tv,L,50,strict,under 18,19.4
CT,2015,3,tv,L,50,strict,under 18,29.4
CT,2015,4,tv,L,50,strict,under 18,39.4
CT,2015,1,tv,R,50,strict,under 18,4.4
CT,2015,2,tv,R,50,strict,under 18,9.4
CT,2015,3,tv,R,50,strict,under 18,14.4
CT,2015,4,tv,R,50,strict,under 18,19.4
CT,2015,1,online,L,50,strict,under 18,1.4
CT,2015,2,online,L,50,strict,under 18,3.4
CT,2015,3,online,L,50,strict,under 18,5.4
CT,2015,4,online,L,50,strict,under 18,7.4
CT,2015,1,online,R,50,strict,under 18,0.4
CT,2015,2,online,R,50,strict,under 18,1.4
CT,2015,3,online,R,50,strict,under 18,2.4
CT,2015,4,online,R,50,strict,under 18,3.4
CT,2015,1,tv,L,75,lenient,under 18,6.8
CT,2015,2,tv,L,75,lenient,under 18,16.8
CT,2015,3,tv,L,75,lenient,under 18,26.8
CT,2015,4,tv,L,75,lenient,under 18,36.8
CT,2015,1,tv,R,75,lenient,under 18,1.8
CT,2015,2,tv,R,75,lenient,under 18,6.8
CT,2015,3,tv,R,75,lenient,under 18,11.8
CT,2015,4,tv,R,75,lenient,under 18,16.8
CT,2015,1,online,L,75,lenient,under 18,0.8
CT,2015,2,online,L,75,lenient,under 18,2.8
CT,2015,3,online,L,75,lenient,under 18,4.8
CT,2015,4,online,L,75,lenient,under 18,6.8
CT,2015,1,online,R,75,lenient,under 18,0.3
CT,2015,2,online,R,75,lenient,under 18,0.8
CT,2015,3,online,R,75,lenient,under 18,1.8
CT,2015,4,online,R,75,lenient,under 18,2.8
CT,2015,1,tv,L,75,strict,under 18,6.4
CT,2015,2,tv,L,75,strict,under 18,16.4
CT,2015,3,tv,L,75,strict,under 18,26.4
CT,2015,4,tv,L,75,strict,under 18,36.4
CT,2015,1,tv,R,75,strict,under 18,1.4
CT,2015,2,tv,R,75,strict,under 18,6.4
CT,2015,3,tv,R,75,strict,under 18,11.4
CT,2015,4,tv,R,75,strict,under 18,16.4
CT,2015,1,online,L,75,strict,under 18,0.4
CT,2015,2,online,L,75,strict,under 18,2.4
CT,2015,3,online,L,75,strict,under 18,4.4
CT,2015,4,online,L,75,strict,under 18,6.4
CT,2015,1,online,R,75,strict,under 18,0
CT,2015,2,online,R,75,strict,under 18,0.4
CT,2015,3,online,R,75,strict,under 18,1.4
CT,2015,4,online,R,75,strict,under 18,2.4
DC,2015,1,tv,L,50,lenient,under 18,10
DC,2015,2,tv,L,50,lenient,under 18,20
DC,2015,3,tv,L,50,lenient,under 18,30
DC,2015,4,tv,L,50,lenient,under 18,40
DC,2015,1,tv,R,50,lenient,under 18,5
DC,2015,2,tv,R,50,lenient,under 18,10
DC,2015,3,tv,R,50,lenient,under 18,15
DC,2015,4,tv,R,50,lenient,under 18,20
DC,2015,1,online,L,50,lenient,under 18,2
DC,2015,2,online,L,50,lenient,under 18,4
DC,2015,3,online,L,50,lenient,under 18,6
DC,2015,4,online,L,50,lenient,under 18,8
DC,2015,1,online,R,50,lenient,under 18,1
DC,2015,2,online,R,50,lenient,under 18,2
DC,2015,3,online,R,50,lenient,under 18,3
DC,2015,4,online,R,50,lenient,under 18,4
DC,2015,1,tv,L,50,strict,under 18,9.6
DC,2015,2,tv,L,50,strict,under 18,19.6
DC,2015,3,tv,L,50,strict,under 18,29.6
DC,2015,4,tv,L,50,strict,under 18,39.6
DC,2015,1,tv,R,50,strict,under 18,4.6
DC,2015,2,tv,R,50,strict,under 18,9.6
DC,2015,3,tv,R,50,strict,under 18,14.6
DC,2015,4,tv,R,50,strict,under 18,19.6
DC,2015,1,online,L,50,strict,under 18,1.6
DC,2015,2,online,L,50,strict,under 18,3.6
DC,2015,3,online,L,50,strict,under 18,5.6
DC,2015,4,online,L,50,strict,under 18,7.6
DC,2015,1,online,R,50,strict,under 18,0.6
DC,2015,2,online,R,50,strict,under 18,1.6
DC,2015,3,online,R,50,strict,under 18,2.6
DC,2015,4,online,R,50,strict,under 18,3.6
DC,2015,1,tv,L,75,lenient,under 18,7
DC,2015,2,tv,L,75,lenient,under 18,17
DC,2015,3,tv,L,75,lenient,under 18,27
DC,2015,4,tv,L,75,lenient,under 18,37
DC,2015,1,tv,R,75,lenient,under 18,2
DC,2015,2,tv,R,75,lenient,under 18,7
DC,2015,3,tv,R,75,lenient,under 18,12
DC,2015,4,tv,R,75,lenient,under 18,17
DC,2015,1,online,L,75,lenient,under 18,1
DC,2015,2,online,L,75,lenient,under 18,3
DC,2015,3,online,L,75,lenient,under 18,5
DC,2015,4,online,L,75,lenient,under 18,7
DC,2015,1,online,R,75,lenient,under 18,0.5
DC,2015,2,online,R,75,lenient,under 18,1
DC,2015,3,online,R,75,lenient,under 18,2
DC,2015,4,online,R,75,lenient,under 18,3
DC,2015,1,tv,L,75,strict,under 18,6.6
DC,2015,2,tv,L,75,strict,under 18,16.6
DC,2015,3,tv,L,75,strict,under 18,26.6
DC,2015,4,tv,L,75,strict,under 18,36.6
DC,2015,1,tv,R,75,strict,under 18,1.6
DC,2015,2,tv,R,75,strict,under 18,6.6
DC,2015,3,tv,R,75,strict,under 18,11.6
DC,2015,4,tv,R,75,strict,under 18,16.6
DC,2015,1,online,L,75,strict,under 18,0.6
DC,2015,2,online,L,75,strict,under 18,2.6
DC,2015,3,online,L,75,strict,under 18,4.6
DC,2015,4,online,L,75,strict,under 18,6.6
DC,2015,1,online,R,75,strict,under 18,0.1
DC,2015,2,online,R,75,strict,under 18,0.6
DC,2015,3,online,R,75,strict,under 18,1.6
DC,2015,4,online,R,75,strict,under 18,2.6
DE,2015,1,tv,L,50,lenient,under 18,9.8
DE,2015,2,tv,L,50,lenient,under 18,19.8
DE,2015,3,tv,L,50,lenient,under 18,29.8
DE,2015,4,tv,L,50,lenient,under 18,39.8
DE,2015,1,tv,R,50,lenient,under 18,4.8
DE,2015,2,tv,R,50,lenient,under 18,9.8
DE,2015,3,tv,R,50,lenient,under 18,14.8
DE,2015,4,tv,R,50,lenient,under 18,19.8
DE,2015,1,online,L,50,lenient,under 18,1.8
DE,2015,2,online,L,50,lenient,under 18,3.8
DE,2015,3,online,L,50,lenient,under 18,5.8
DE,2015,4,online,L,50,lenient,under 18,7.8
DE,2015,1,online,R,50,lenient,under 18,0.8
DE,2015,2,online,R,50,lenient,under 18,1.8
DE,2015,3,online,R,50,lenient,under 18,2.8
DE,2015,4,online,R,50,lenient,under 18,3.8
DE,2015,1,tv,L,50,strict,under 18,9.4
DE,2015,2,tv,L,50,strict,under 18,19.4
DE,2015,3,tv,L,50,strict,under 18,29.4
DE,2015,4,tv,L,50,strict,under 18,39.4
DE,2015,1,tv,R,50,strict,under 18,4.4
DE,2015,2,tv,R,50,strict,under 18,9.4
DE,2015,3,tv,R,50,strict,under 18,14.4
DE,2015,4,tv,R,50,strict,under 18,19.4
DE,2015,1,online,L,50,strict,under 18,1.4
DE,2015,2,online,L,50,strict,under 18,3.4
DE,2015,3,online,L,50,strict,under 18,5.4
DE,2015,4,online,L,50,strict,under 18,7.4
DE,2015,1,online,R,50,strict,under 18,0.4
DE,2015,2,online,R,50,strict,under 18,1.4
DE,2015,3,online,R,50,strict,under 18,2.4
