period,state,medium,partisanship_scenario,diet_threshold,political_lean,program,network,value
Last 12 months,SC,tv,stringent,75,L,Anderson Cooper 360,CNN,36.8
Last 12 months,SD,tv,lenient,50,L,Tucker Carlson,Fox News,1.8
Last 12 months,SD,tv,lenient,75,L,Tucker Carlson,Fox News,6.8
Last 12 months,SD,tv,stringent,50,L,Tucker Carlson,Fox News,11.8
Last 12 months,SD,tv,stringent,75,L,Tucker Carlson,Fox News,16.8
Last 12 months,TN,tv,lenient,50,L,Anderson Cooper 360,CNN,0.8
Last 12 months,TN,tv,lenient,75,L,Anderson Cooper 360,CNN,2.8
Last 12 months,TN,tv,stringent,50,L,Anderson Cooper 360,CNN,4.8
Last 12 months,TN,tv,stringent,75,L,Anderson Cooper 360,CNN,6.8
Last 12 months,TX,tv,lenient,50,L,Tucker Carlson,Fox News,0.3
Last 12 months,TX,tv,lenient,75,L,Tucker Carlson,Fox News,0.8
Last 12 months,TX,tv,stringent,50,L,Tucker Carlson,Fox News,1.8
Last 12 months,TX,tv,stringent,75,L,Tucker Carlson,Fox News,2.8
Last 12 months,UT,tv,lenient,50,L,Anderson Cooper 360,CNN,6.4
Last 12 months,UT,tv,lenient,75,L,Anderson Cooper 360,CNN,16.4
Last 12 months,UT,tv,stringent,50,L,Anderson Cooper 360,CNN,26.4
Last 12 months,UT,tv,stringent,75,L,Anderson Cooper 360,CNN,36.4
Last 12 months,VA,tv,lenient,50,L,Tucker Carlson,Fox News,1.4
Last 12 months,VA,tv,lenient,75,L,Tucker Carlson,Fox News,6.4
Last 12 months,VA,tv,stringent,50,L,Tucker Carlson,Fox News,11.4
Last 12 months,VA,tv,stringent,75,L,Tucker Carlson,Fox News,16.4
Last 12 months,VT,tv,lenient,50,L,Anderson Cooper 360,CNN,0.4
Last 12 months,VT,tv,lenient,75,L,Anderson Cooper 360,CNN,2.4
Last 12 months,VT,tv,stringent,50,L,Anderson Cooper 360,CNN,4.4
Last 12 months,VT,tv,stringent,75,L,Anderson Cooper 360,CNN,6.4
Last 12 months,WA,tv,lenient,50,L,Tucker Carlson,Fox News,0
Last 12 months,WA,tv,lenient,75,L,Tucker Carlson,Fox News,0.4
Last 12 months,WA,tv,stringent,50,L,Tucker Carlson,Fox News,1.4
Last 12 months,WA,tv,stringent,75,L,Tucker Carlson,Fox News,2.4
Last 12 months,WI,tv,lenient,50,L,Anderson Cooper 360,CNN,10
Last 12 months,WI,tv,lenient,75,L,Anderson Cooper 360,CNN,20
Last 12 months,WI,tv,stringent,50,L,Anderson Cooper 360,CNN,30
Last 12 months,WI,tv,stringent,75,L,Anderson Cooper 360,CNN,40
Last 12 months,WV,tv,lenient,50,L,Tucker Carlson,Fox News,5
Last 12 months,WV,tv,lenient,75,L,Tucker Carlson,Fox News,10
Last 12 months,WV,tv,stringent,50,L,Tucker Carlson,Fox News,15
Last 12 months,WV,tv,stringent,75,L,Tucker Carlson,Fox News,20
Last 12 months,WY,tv,lenient,50,L,Anderson Cooper 360,CNN,2
Last 12 months,WY,tv,lenient,75,L,Anderson Cooper 360,CNN,4
Last 12 months,WY,tv,stringent,50,L,Anderson Cooper 360,CNN,6
Last 12 months,WY,tv,stringent,75,L,Anderson Cooper 360,CNN,8
Last 3 months,AK,tv,lenient,50,L,Tucker Carlson,Fox News,1
Last 3 months,AK,tv,lenient,75,L,Tucker Carlson,Fox News,2
Last 3 months,AK,tv,stringent,50,L,Tucker Carlson,Fox News,3
Last 3 months,AK,tv,stringent,75,L,Tucker Carlson,Fox News,4
Last 3 months,AL,tv,lenient,50,L,Anderson Cooper 360,CNN,9.6
Last 3 months,AL,tv,lenient,75,L,Anderson Cooper 360,CNN,19.6
Last 3 months,AL,tv,stringent,50,L,Anderson Cooper 360,CNN,29.6
Last 3 months,AL,tv,stringent,75,L,Anderson Cooper 360,CNN,39.6
Last 3 months,AR,tv,lenient,50,L,Tucker Carlson,Fox News,4.6
Last 3 months,AR,tv,lenient,75,L,Tucker Carlson,Fox News,9.6
Last 3 months,AR,tv,stringent,50,L,Tucker Carlson,Fox News,14.6
Last 3 months,AR,tv,stringent,75,L,Tucker Carlson,Fox News,19.6
Last 3 months,AZ,tv,lenient,50,L,Anderson Cooper 360,CNN,1.6
Last 3 months,AZ,tv,lenient,75,L,Anderson Cooper 360,CNN,3.6
Last 3 months,AZ,tv,stringent,50,L,Anderson Cooper 360,CNN,5.6
Last 3 months,AZ,tv,stringent,75,L,Anderson Cooper 360,CNN,7.6
Last 3 months,CA,tv,lenient,50,L,Tucker Carlson,Fox News,0.6
Last 3 months,CA,tv,lenient,75,L,Tucker Carlson,Fox News,1.6
Last 3 months,CA,tv,stringent,50,L,Tucker Carlson,Fox News,2.6
Last 3 months,CA,tv,stringent,75,L,Tucker Carlson,Fox News,3.6
Last 3 months,CO,tv,lenient,50,L,Anderson Cooper 360,CNN,7
Last 3 months,CO,tv,lenient,75,L,Anderson Cooper 360,CNN,17
Last 3 months,CO,tv,stringent,50,L,Anderson Cooper 360,CNN,27
Last 3 months,CO,tv,stringent,75,L,Anderson Cooper 360,CNN,37
Last 3 months,CT,tv,lenient,50,L,Tucker Carlson,Fox News,2
Last 3 months,CT,tv,lenient,75,L,Tucker Carlson,Fox News,7
Last 3 months,CT,tv,stringent,50,L,Tucker Carlson,Fox News,12
Last 3 months,CT,tv,stringent,75,L,Tucker Carlson,Fox News,17
Last 3 months,DC,tv,lenient,50,L,Anderson Cooper 360,CNN,1
Last 3 months,DC,tv,lenient,75,L,Anderson Cooper 360,CNN,3
Last 3 months,DC,tv,stringent,50,L,Anderson Cooper 360,CNN,5
Last 3 months,DC,tv,stringent,75,L,Anderson Cooper 360,CNN,7
Last 3 months,DE,tv,lenient,50,L,Tucker Carlson,Fox News,0.5
Last 3 months,DE,tv,lenient,75,L,Tucker Carlson,Fox News,1
Last 3 months,DE,tv,stringent,50,L,Tucker Carlson,Fox News,2
Last 3 months,DE,tv,stringent,75,L,Tucker Carlson,Fox News,3
Last 3 months,FL,tv,lenient,50,L,Anderson Cooper 360,CNN,6.6
Last 3 months,FL,tv,lenient,75,L,Anderson Cooper 360,CNN,16.6
Last 3 months,FL,tv,stringent,50,L,Anderson Cooper 360,CNN,26.6
Last 3 months,FL,tv,stringent,75,L,Anderson Cooper 360,CNN,36.6
Last 3 months,GA,tv,lenient,50,L,Tucker Carlson,Fox News,1.6
Last 3 months,GA,tv,lenient,75,L,Tucker Carlson,Fox News,6.6
Last 3 months,GA,tv,stringent,50,L,Tucker Carlson,Fox News,11.6
Last 3 months,GA,tv,stringent,75,L,Tucker Carlson,Fox News,16.6
Last 3 months,HI,tv,lenient,50,L,Anderson Cooper 360,CNN,0.6
Last 3 months,HI,tv,lenient,75,L,Anderson Cooper 360,CNN,2.6
Last 3 months,HI,tv,stringent,50,L,Anderson Cooper 360,CNN,4.6
Last 3 months,HI,tv,stringent,75,L,Anderson Cooper 360,CNN,6.6
Last 3 months,IA,tv,lenient,50,L,Tucker Carlson,Fox News,0.1
Last 3 months,IA,tv,lenient,75,L,Tucker Carlson,Fox News,0.6
Last 3 months,IA,tv,stringent,50,L,Tucker Carlson,Fox News,1.6
Last 3 months,IA,tv,stringent,75,L,Tucker Carlson,Fox News,2.6
Last 3 months,ID,tv,lenient,50,L,Anderson Cooper 360,CNN,9.8
Last 3 months,ID,tv,lenient,75,L,Anderson Cooper 360,CNN,19.8
Last 3 months,ID,tv,stringent,50,L,Anderson Cooper 360,CNN,29.8
Last 3 months,ID,tv,stringent,75,L,Anderson Cooper 360,CNN,39.8
Last 3 months,IL,tv,lenient,50,L,Tucker Carlson,Fox News,4.8
Last 3 months,IL,tv,lenient,75,L,Tucker Carlson,Fox News,9.8
Last 3 months,IL,tv,stringent,50,L,Tucker Carlson,Fox News,14.8
Last 3 months,IL,tv,stringent,75,L,Tucker Carlson,Fox News,19.8
Last 3 months,IN,tv,lenient,50,L,Anderson Cooper 360,CNN,1.8
Last 3 months,IN,tv,lenient,75,L,Anderson Cooper 360,CNN,3.8
Last 3 months,IN,tv,stringent,50,L,Anderson Cooper 360,CNN,5.8
Last 3 months,IN,tv,stringent,75,L,Anderson Cooper 360,CNN,7.8
Last 3 months,KS,tv,lenient,50,L,Tucker Carlson,Fox News,0.8
Last 3 months,KS,tv,lenient,75,L,Tucker Carlson,Fox News,1.8
Last 3 months,KS,tv,stringent,50,L,Tucker Carlson,Fox News,2.8
Last 3 months,KS,tv,stringent,75,L,Tucker Carlson,Fox News,3.8
Last 3 months,KY,tv,lenient,50,L,Anderson Cooper 360,CNN,9.4
Last 3 months,KY,tv,lenient,75,L,Anderson Cooper 360,CNN,19.4
Last 3 months,KY,tv,stringent,50,L,Anderson Cooper 360,CNN,29.4
Last 3 months,KY,tv,stringent,75,L,Anderson Cooper 360,CNN,39.4
Last 3 months,LA,tv,lenient,50,L,Tucker Carlson,Fox News,4.4
Last 3 months,LA,tv,lenient,75,L,Tucker Carlson,Fox News,9.4
Last 3 months,LA,tv,stringent,50,L,Tucker Carlson,Fox News,14.4
Last 3 months,LA,tv,stringent,75,L,Tucker Carlson,Fox News,19.4
Last 3 months,MA,tv,lenient,50,L,Anderson Cooper 360,CNN,1.4
Last 3 months,MA,tv,lenient,75,L,Anderson Cooper 360,CNN,3.4
Last 3 months,MA,tv,stringent,50,L,Anderson Cooper 360,CNN,5.4
Last 3 months,MA,tv,stringent,75,L,Anderson Cooper 360,CNN,7.4
Last 3 months,MD,tv,lenient,50,L,Tucker Carlson,Fox News,0.4
Last 3 months,MD,tv,lenient,75,L,Tucker Carlson,Fox News,1.4
Last 3 months,MD,tv,stringent,50,L,Tucker Carlson,Fox News,2.4
Last 3 months,MD,tv,stringent,75,L,Tucker Carlson,Fox News,3.4
Last 3 months,ME,tv,lenient,50,L,Anderson Cooper 360,CNN,6.8
Last 3 months,ME,tv,lenient,75,L,Anderson Cooper 360,CNN,16.8
Last 3 months,ME,tv,stringent,50,L,Anderson Cooper 360,CNN,26.8
Last 3 months,ME,tv,stringent,75,L,Anderson Cooper 360,CNN,36.8
Last 3 months,MI,tv,lenient,50,L,Tucker Carlson,Fox News,1.8
Last 3 months,MI,tv,lenient,75,L,Tucker Carlson,Fox News,6.8
Last 3 months,MI,tv,stringent,50,L,Tucker Carlson,Fox News,11.8
Last 3 months,MI,tv,stringent,75,L,Tucker Carlson,Fox News,16.8
Last 3 months,MN,tv,lenient,50,L,Anderson Cooper 360,CNN,0.8
Last 3 months,MN,tv,lenient,75,L,Anderson Cooper 360,CNN,2.8
Last 3 months,MN,tv,stringent,50,L,Anderson Cooper 360,CNN,4.8
Last 3 months,MN,tv,stringent,75,L,Anderson Cooper 360,CNN,6.8
Last 3 months,MO,tv,lenient,50,L,Tucker Carlson,Fox News,0.3
Last 3 months,MO,tv,lenient,75,L,Tucker Carlson,Fox News,0.8
Last 3 months,MO,tv,stringent,50,L,Tucker Carlson,Fox News,1.8
Last 3 months,MO,tv,stringent,75,L,Tucker Carlson,Fox News,2.8
Last 3 months,MS,tv,lenient,50,L,Anderson Cooper 360,CNN,6.4
Last 3 months,MS,tv,lenient,75,L,Anderson Cooper 360,CNN,16.4
Last 3 months,MS,tv,stringent,50,L,Anderson Cooper 360,CNN,26.4
Last 3 months,MS,tv,stringent,75,L,Anderson Cooper 360,CNN,36.4
Last 3 months,MT,tv,lenient,50,L,Tucker Carlson,Fox News,1.4
Last 3 months,MT,tv,lenient,75,L,Tucker Carlson,Fox News,6.4
Last 3 months,MT,tv,stringent,50,L,Tucker Carlson,Fox News,11.4
Last 3 months,MT,tv,stringent,75,L,Tucker Carlson,Fox News,16.4
Last 3 months,NC,tv,lenient,50,L,Anderson Cooper 360,CNN,0.4
Last 3 months,NC,tv,lenient,75,L,Anderson Cooper 360,CNN,2.4
Last 3 months,NC,tv,stringent,50,L,Anderson Cooper 360,CNN,4.4
Last 3 months,NC,tv,stringent,75,L,Anderson Cooper 360,CNN,6.4
Last 3 months,ND,tv,lenient,50,L,Tucker Carlson,Fox News,0
Last 3 months,ND,tv,lenient,75,L,Tucker Carlson,Fox News,0.4
Last 3 months,ND,tv,stringent,50,L,Tucker Carlson,Fox News,1.4
Last 3 months,ND,tv,stringent,75,L,Tucker Carlson,Fox News,2.4
Last 3 months,NE,tv,lenient,50,L,Anderson Cooper 360,CNN,10
Last 3 months,NE,tv,lenient,75,L,Anderson Cooper 360,CNN,20
Last 3 months,NE,tv,stringent,50,L,Anderson Cooper 360,CNN,30
Last 3 months,NE,tv,stringent,75,L,Anderson Cooper 360,CNN,40
Last 3 months,NH,tv,lenient,50,L,Tucker Carlson,Fox News,5
Last 3 months,NH,tv,lenient,75,L,Tucker Carlson,Fox News,10
Last 3 months,NH,tv,stringent,50,L,Tucker Carlson,Fox News,15
Last 3 months,NH,tv,stringent,75,L,Tucker Carlson,Fox News,20
Last 3 months,NJ,tv,lenient,50,L,Anderson Cooper 360,CNN,2
Last 3 months,NJ,tv,lenient,75,L,Anderson Cooper 360,CNN,4
Last 3 months,NJ,tv,stringent,50,L,Anderson Cooper 360,CNN,6
Last 3 months,NJ,tv,stringent,75,L,Anderson Cooper 360,CNN,8
Last 3 months,NM,tv,lenient,50,L,Tucker Carlson,Fox News,1
Last 3 months,NM,tv,lenient,75,L,Tucker Carlson,Fox News,2
Last 3 months,NM,tv,stringent,50,L,Tucker Carlson,Fox News,3
Last 3 months,NM,tv,stringent,75,L,Tucker Carlson,Fox News,4
Last 3 months,NV,tv,lenient,50,L,Anderson Cooper 360,CNN,9.6
Last 3 months,NV,tv,lenient,75,L,Anderson Cooper 360,CNN,19.6
Last 3 months,NV,tv,stringent,50,L,Anderson Cooper 360,CNN,29.6
Last 3 months,NV,tv,stringent,75,L,Anderson Cooper 360,CNN,39.6
Last 3 months,NY,tv,lenient,50,L,Tucker Carlson,Fox News,4.6
Last 3 months,NY,tv,lenient,75,L,Tucker Carlson,Fox News,9.6
Last 3 months,NY,tv,stringent,50,L,Tucker Carlson,Fox News,14.6
Last 3 months,NY,tv,stringent,75,L,Tucker Carlson,Fox News,19.6
Last 3 months,OH,tv,lenient,50,L,Anderson Cooper 360,CNN,1.6
Last 3 months,OH,tv,lenient,75,L,Anderson Cooper 360,CNN,3.6
Last 3 months,OH,tv,stringent,50,L,Anderson Cooper 360,CNN,5.6
Last 3 months,OH,tv,stringent,75,L,Anderson Cooper 360,CNN,7.6
Last 3 months,OK,tv,lenient,50,L,Tucker Carlson,Fox News,0.6
Last 3 months,OK,tv,lenient,75,L,Tucker Carlson,Fox News,1.6
Last 3 months,OK,tv,stringent,50,L,Tucker Carlson,Fox News,2.6
Last 3 months,OK,tv,stringent,75,L,Tucker Carlson,Fox News,3.6
Last 3 months,OR,tv,lenient,50,L,Anderson Cooper 360,CNN,7
Last 3 months,OR,tv,lenient,75,L,Anderson Cooper 360,CNN,17
Last 3 months,OR,tv,stringent,50,L,Anderson Cooper 360,CNN,27
Last 3 months,OR,tv,stringent,75,L,Anderson Cooper 360,CNN,37
