state,year,month,medium,political_lean,diet_threshold,partisanship_scenario,value
AL,2015,3,tv,R,75,strict,11.6
AL,2015,4,tv,R,75,strict,16.6
AL,2015,1,online,L,75,strict,0.6
AL,2015,2,online,L,75,strict,2.6
AL,2015,3,online,L,75,strict,4.6
AL,2015,4,online,L,75,strict,6.6
AL,2015,1,online,R,75,strict,0.1
AL,2015,2,online,R,75,strict,0.6
AL,2015,3,online,R,75,strict,1.6
AL,2015,4,online,R,75,strict,2.6
AR,2015,1,tv,L,50,lenient,9.8
AR,2015,2,tv,L,50,lenient,19.8
AR,2015,3,tv,L,50,lenient,29.8
AR,2015,4,tv,L,50,lenient,39.8
AR,2015,1,tv,R,50,lenient,4.8
AR,2015,2,tv,R,50,lenient,9.8
AR,2015,3,tv,R,50,lenient,14.8
AR,2015,4,tv,R,50,lenient,19.8
AR,2015,1,online,L,50,lenient,1.8
AR,2015,2,online,L,50,lenient,3.8
AR,2015,3,online,L,50,lenient,5.8
AR,2015,4,online,L,50,lenient,7.8
AR,2015,1,online,R,50,lenient,0.8
AR,2015,2,online,R,50,lenient,1.8
AR,2015,3,online,R,50,lenient,2.8
AR,2015,4,online,R,50,lenient,3.8
AR,2015,1,tv,L,50,strict,9.4
AR,2015,2,tv,L,50,strict,19.4
AR,2015,3,tv,L,50,strict,29.4
AR,2015,4,tv,L,50,strict,39.4
AR,2015,1,tv,R,50,strict,4.4
AR,2015,2,tv,R,50,strict,9.4
AR,2015,3,tv,R,50,strict,14.4
AR,2015,4,tv,R,50,strict,19.4
AR,2015,1,online,L,50,strict,1.4
AR,2015,2,online,L,50,strict,3.4
AR,2015,3,online,L,50,strict,5.4
AR,2015,4,online,L,50,strict,7.4
AR,2015,1,online,R,50,strict,0.4
AR,2015,2,online,R,50,strict,1.4
AR,2015,3,online,R,50,strict,2.4
AR,2015,4,online,R,50,strict,3.4
AR,2015,1,tv,L,75,lenient,6.8
AR,2015,2,tv,L,75,lenient,16.8
AR,2015,3,tv,L,75,lenient,26.8
AR,2015,4,tv,L,75,lenient,36.8
AR,2015,1,tv,R,75,lenient,1.8
AR,2015,2,tv,R,75,lenient,6.8
AR,2015,3,tv,R,75,lenient,11.8
AR,2015,4,tv,R,75,lenient,16.8
AR,2015,1,online,L,75,lenient,0.8
AR,2015,2,online,L,75,lenient,2.8
AR,2015,3,online,L,75,lenient,4.8
AR,2015,4,online,L,75,lenient,6.8
AR,2015,1,online,R,75,lenient,0.3
AR,2015,2,online,R,75,lenient,0.8
AR,2015,3,online,R,75,lenient,1.8
AR,2015,4,online,R,75,lenient,2.8
AR,2015,1,tv,L,75,strict,6.4
AR,2015,2,tv,L,75,strict,16.4
AR,2015,3,tv,L,75,strict,26.4
AR,2015,4,tv,L,75,strict,36.4
AR,2015,1,tv,R,75,strict,1.4
AR,2015,2,tv,R,75,strict,6.4
AR,2015,3,tv,R,75,strict,11.4
AR,2015,4,tv,R,75,strict,16.4
AR,2015,1,online,L,75,strict,0.4
AR,2015,2,online,L,75,strict,2.4
AR,2015,3,online,L,75,strict,4.4
AR,2015,4,online,L,75,strict,6.4
AR,2015,1,online,R,75,strict,0
AR,2015,2,online,R,75,strict,0.4
AR,2015,3,online,R,75,strict,1.4
AR,2015,4,online,R,75,strict,2.4
AZ,2015,1,tv,L,50,lenient,10
AZ,2015,2,tv,L,50,lenient,20
AZ,2015,3,tv,L,50,lenient,30
AZ,2015,4,tv,L,50,lenient,40
AZ,2015,1,tv,R,50,lenient,5
AZ,2015,2,tv,R,50,lenient,10
AZ,2015,3,tv,R,50,lenient,15
AZ,2015,4,tv,R,50,lenient,20
AZ,2015,1,online,L,50,lenient,2
AZ,2015,2,online,L,50,lenient,4
AZ,2015,3,online,L,50,lenient,6
AZ,2015,4,online,L,50,lenient,8
AZ,2015,1,online,R,50,lenient,1
AZ,2015,2,online,R,50,lenient,2
AZ,2015,3,online,R,50,lenient,3
AZ,2015,4,online,R,50,lenient,4
AZ,2015,1,tv,L,50,strict,9.6
AZ,2015,2,tv,L,50,strict,19.6
AZ,2015,3,tv,L,50,strict,29.6
AZ,2015,4,tv,L,50,strict,39.6
AZ,2015,1,tv,R,50,strict,4.6
AZ,2015,2,tv,R,50,strict,9.6
AZ,2015,3,tv,R,50,strict,14.6
AZ,2015,4,tv,R,50,strict,19.6
AZ,2015,1,online,L,50,strict,1.6
AZ,2015,2,online,L,50,strict,3.6
AZ,2015,3,online,L,50,strict,5.6
AZ,2015,4,online,L,50,strict,7.6
AZ,2015,1,online,R,50,strict,0.6
AZ,2015,2,online,R,50,strict,1.6
AZ,2015,3,online,R,50,strict,2.6
AZ,2015,4,online,R,50,strict,3.6
AZ,2015,1,tv,L,75,lenient,7
AZ,2015,2,tv,L,75,lenient,17
AZ,2015,3,tv,L,75,lenient,27
AZ,2015,4,tv,L,75,lenient,37
AZ,2015,1,tv,R,75,lenient,2
AZ,2015,2,tv,R,75,lenient,7
AZ,2015,3,tv,R,75,lenient,12
AZ,2015,4,tv,R,75,lenient,17
AZ,2015,1,online,L,75,lenient,1
AZ,2015,2,online,L,75,lenient,3
AZ,2015,3,online,L,75,lenient,5
AZ,2015,4,online,L,75,lenient,7
AZ,2015,1,online,R,75,lenient,0.5
AZ,2015,2,online,R,75,lenient,1
AZ,2015,3,online,R,75,lenient,2
AZ,2015,4,online,R,75,lenient,3
AZ,2015,1,tv,L,75,strict,6.6
AZ,2015,2,tv,L,75,strict,16.6
AZ,2015,3,tv,L,75,strict,26.6
AZ,2015,4,tv,L,75,strict,36.6
AZ,2015,1,tv,R,75,strict,1.6
AZ,2015,2,tv,R,75,strict,6.6
AZ,2015,3,tv,R,75,strict,11.6
AZ,2015,4,tv,R,75,strict,16.6
AZ,2015,1,online,L,75,strict,0.6
AZ,2015,2,online,L,75,strict,2.6
AZ,2015,3,online,L,75,strict,4.6
AZ,2015,4,online,L,75,strict,6.6
AZ,2015,1,online,R,75,strict,0.1
AZ,2015,2,online,R,75,strict,0.6
AZ,2015,3,online,R,75,strict,1.6
AZ,2015,4,online,R,75,strict,2.6
CA,2015,1,tv,L,50,lenient,9.8
CA,2015,2,tv,L,50,lenient,19.8
CA,2015,3,tv,L,50,lenient,29.8
CA,2015,4,tv,L,50,lenient,39.8
CA,2015,1,tv,R,50,lenient,4.8
CA,2015,2,tv,R,50,lenient,9.8
CA,2015,3,tv,R,50,lenient,14.8
CA,2015,4,tv,R,50,lenient,19.8
CA,2015,1,online,L,50,lenient,1.8
CA,2015,2,online,L,50,lenient,3.8
CA,2015,3,online,L,50,lenient,5.8
CA,2015,4,online,L,50,lenient,7.8
CA,2015,1,online,R,50,lenient,0.8
CA,2015,2,online,R,50,lenient,1.8
CA,2015,3,online,R,50,lenient,2.8
CA,2015,4,online,R,50,lenient,3.8
CA,2015,1,tv,L,50,strict,9.4
CA,2015,2,tv,L,50,strict,19.4
CA,2015,3,tv,L,50,strict,29.4
CA,2015,4,tv,L,50,strict,39.4
CA,2015,1,tv,R,50,strict,4.4
CA,2015,2,tv,R,50,strict,9.4
CA,2015,3,tv,R,50,strict,14.4
CA,2015,4,tv,R,50,strict,19.4
CA,2015,1,online,L,50,strict,1.4
CA,2015,2,online,L,50,strict,3.4
CA,2015,3,online,L,50,strict,5.4
CA,2015,4,online,L,50,strict,7.4
CA,2015,1,online,R,50,strict,0.4
CA,2015,2,online,R,50,strict,1.4
CA,2015,3,online,R,50,strict,2.4
CA,2015,4,online,R,50,strict,3.4
CA,2015,1,tv,L,75,lenient,6.8
CA,2015,2,tv,L,75,lenient,16.8
CA,2015,3,tv,L,75,lenient,26.8
CA,2015,4,tv,L,75,lenient,36.8
CA,2015,1,tv,R,75,lenient,1.8
CA,2015,2,tv,R,75,lenient,6.8
CA,2015,3,tv,R,75,lenient,11.8
CA,2015,4,tv,R,75,lenient,16.8
CA,2015,1,online,L,75,lenient,0.8
CA,2015,2,online,L,75,lenient,2.8
CA,2015,3,online,L,75,lenient,4.8
CA,2015,4,online,L,75,lenient,6.8
CA,2015,1,online,R,75,lenient,0.3
CA,2015,2,online,R,75,lenient,0.8
CA,2015,3,online,R,75,lenient,1.8
CA,2015,4,online,R,75,lenient,2.8
CA,2015,1,tv,L,75,strict,6.4
CA,2015,2,tv,L,75,strict,16.4
CA,2015,3,tv,L,75,strict,26.4
CA,2015,4,tv,L,75,strict,36.4
CA,2015,1,tv,R,75,strict,1.4
CA,2015,2,tv,R,75,strict,6.4
CA,2015,3,tv,R,75,strict,11.4
CA,2015,4,tv,R,75,strict,16.4
CA,2015,1,online,L,75,strict,0.4
CA,2015,2,online,L,75,strict,2.4
CA,2015,3,online,L,75,strict,4.4
CA,2015,4,online,L,75,strict,6.4
CA,2015,1,online,R,75,strict,0
CA,2015,2,online,R,75,strict,0.4
CA,2015,3,online,R,75,strict,1.4
CA,2015,4,online,R,75,strict,2.4
CO,2015,1,tv,L,50,lenient,10
CO,2015,2,tv,L,50,lenient,20
CO,2015,3,tv,L,50,lenient,30
CO,2015,4,tv,L,50,lenient,40
CO,2015,1,tv,R,50,lenient,5
CO,2015,2,tv,R,50,lenient,10
CO,2015,3,tv,R,50,lenient,15
CO,2015,4,tv,R,50,lenient,20
CO,2015,1,online,L,50,lenient,2
CO,2015,2,online,L,50,lenient,4
CO,2015,3,online,L,50,lenient,6
CO,2015,4,online,L,50,lenient,8
CO,2015,1,online,R,50,lenient,1
CO,2015,2,online,R,50,lenient,2
CO,2015,3,online,R,50,lenient,3
CO,2015,4,online,R,50,lenient,4
CO,2015,1,tv,L,50,strict,9.6
CO,2015,2,tv,L,50,strict,19.6
CO,2015,3,tv,L,50,strict,29.6
CO,2015,4,tv,L,50,strict,39.6
CO,2015,1,tv,R,50,strict,4.6
CO,2015,2,tv,R,50,strict,9.6
CO,2015,3,tv,R,50,strict,14.6
CO,2015,4,tv,R,50,strict,19.6
CO,2015,1,online,L,50,strict,1.6
CO,2015,2,online,L,50,strict,3.6
CO,2015,3,online,L,50,strict,5.6
CO,2015,4,online,L,50,strict,7.6
CO,2015,1,online,R,50,strict,0.6
CO,2015,2,online,R,50,strict,1.6
CO,2015,3,online,R,50,strict,2.6
CO,2015,4,online,R,50,strict,3.6
CO,2015,1,tv,L,75,lenient,7
CO,2015,2,tv,L,75,lenient,17
CO,2015,3,tv,L,75,lenient,27
CO,2015,4,tv,L,75,lenient,37
CO,2015,1,tv,R,75,lenient,2
CO,2015,2,tv,R,75,lenient,7
CO,2015,3,tv,R,75,lenient,12
CO,2015,4,tv,R,75,lenient,17
CO,2015,1,online,L,75,lenient,1
CO,2015,2,online,L,75,lenient,3
CO,2015,3,online,L,75,lenient,5
CO,2015,4,online,L,75,lenient,7
CO,2015,1,online,R,75,lenient,0.5
CO,2015,2,online,R,75,lenient,1
CO,2015,3,online,R,75,lenient,2
CO,2015,4,online,R,75,lenient,3
CO,2015,1,tv,L,75,strict,6.6
CO,2015,2,tv,L,75,strict,16.6
CO,2015,3,tv,L,75,strict,26.6
CO,2015,4,tv,L,75,strict,36.6
CO,2015,1,tv,R,75,strict,1.6
CO,2015,2,tv,R,75,strict,6.6
CO,2015,3,tv,R,75,strict,11.6
CO,2015,4,tv,R,75,strict,16.6
CO,2015,1,online,L,75,strict,0.6
CO,2015,2,online,L,75,strict,2.6
CO,2015,3,online,L,75,strict,4.6
CO,2015,4,online,L,75,strict,6.6
CO,2015,1,online,R,75,strict,0.1
CO,2015,2,online,R,75,strict,0.6
CO,2015,3,online,R,75,strict,1.6
CO,2015,4,online,R,75,strict,2.6
CT,2015,1,tv,L,50,lenient,9.8
CT,2015,2,tv,L,50,lenient,19.8
CT,2015,3,tv,L,50,lenient,29.8
CT,2015,4,tv,L,50,lenient,39.8
CT,2015,1,tv,R,50,lenient,4.8
CT,2015,2,tv,R,50,lenient,9.8
CT,2015,3,tv,R,50,lenient,14.8
CT,2015,4,tv,R,50,lenient,19.8
CT,2015,1,online,L,50,lenient,1.8
CT,2015,2,online,L,50,lenient,3.8
CT,2015,3,online,L,50,lenient,5.8
CT,2015,4,online,L,50,lenient,7.8
CT,2015,1,online,R,50,lenient,0.8
CT,2015,2,online,R,50,lenient,1.8
CT,2015,3,online,R,50,lenient,2.8
CT,2015,4,online,R,50,lenient,3.8
CT,2015,1,tv,L,50,strict,9.4
CT,2015,2,tv,L,50,strict,19.4
CT,2015,3,tv,L,50,strict,29.4
CT,2015,4,tv,L,50,strict,39.4
CT,2015,1,tv,R,50,strict,4.4
CT,2015,2,tv,R,50,strict,9.4
CT,2015,3,tv,R,50,strict,14.4
CT,2015,4,tv,R,50,strict,19.4
CT,2015,1,online,L,50,strict,1.4
CT,2015,2,online,L,50,strict,3.4
CT,2015,3,online,L,50,strict,5.4
CT,2015,4,online,L,50,strict,7.4
CT,2015,1,online,R,50,strict,0.4
CT,2015,2,online,R,50,strict,1.4
CT,2015,3,online,R,50,strict,2.4
CT,2015,4,online,R,50,strict,3.4
CT,2015,1,tv,L,75,lenient,6.8
CT,2015,2,tv,L,75,lenient,16.8
CT,2015,3,tv,L,75,lenient,26.8
CT,2015,4,tv,L,75,lenient,36.8
CT,2015,1,tv,R,75,lenient,1.8
CT,2015,2,tv,R,75,lenient,6.8
CT,2015,3,tv,R,75,lenient,11.8
CT,2015,4,tv,R,75,lenient,16.8
CT,2015,1,online,L,75,lenient,0.8
CT,2015,2,online,L,75,lenient,2.8
CT,2015,3,online,L,75,lenient,4.8
CT,2015,4,online,L,75,lenient,6.8
CT,2015,1,online,R,75,lenient,0.3
CT,2015,2,online,R,75,lenient,0.8
CT,2015,3,online,R,75,lenient,1.8
CT,2015,4,online,R,75,lenient,2.8
CT,2015,1,tv,L,75,strict,6.4
CT,2015,2,tv,L,75,strict,16.4
CT,2015,3,tv,L,75,strict,26.4
CT,2015,4,tv,L,75,strict,36.4
CT,2015,1,tv,R,75,strict,1.4
CT,2015,2,tv,R,75,strict,6.4
CT,2015,3,tv,R,75,strict,11.4
CT,2015,4,tv,R,75,strict,16.4
CT,2015,1,online,L,75,strict,0.4
CT,2015,2,online,L,75,strict,2.4
CT,2015,3,online,L,75,strict,4.4
CT,2015,4,online,L,75,strict,6.4
CT,2015,1,online,R,75,strict,0
CT,2015,2,online,R,75,strict,0.4
CT,2015,3,online,R,75,strict,1.4
CT,2015,4,online,R,75,strict,2.4
DC,2015,1,tv,L,50,lenient,10
DC,2015,2,tv,L,50,lenient,20
DC,2015,3,tv,L,50,lenient,30
DC,2015,4,tv,L,50,lenient,40
DC,2015,1,tv,R,50,lenient,5
DC,2015,2,tv,R,50,lenient,10
DC,2015,3,tv,R,50,lenient,15
DC,2015,4,tv,R,50,lenient,20
DC,2015,1,online,L,50,lenient,2
DC,2015,2,online,L,50,lenient,4
DC,2015,3,online,L,50,lenient,6
DC,2015,4,online,L,50,lenient,8
DC,2015,1,online,R,50,lenient,1
DC,2015,2,online,R,50,lenient,2
DC,2015,3,online,R,50,lenient,3
DC,2015,4,online,R,50,lenient,4
DC,2015,1,tv,L,50,strict,9.6
DC,2015,2,tv,L,50,strict,19.6
DC,2015,3,tv,L,50,strict,29.6
DC,2015,4,tv,L,50,strict,39.6
DC,2015,1,tv,R,50,strict,4.6
DC,2015,2,tv,R,50,strict,9.6
DC,2015,3,tv,R,50,strict,14.6
DC,2015,4,tv,R,50,strict,19.6
DC,2015,1,online,L,50,strict,1.6
DC,2015,2,online,L,50,strict,3.6
DC,2015,3,online,L,50,strict,5.6
DC,2015,4,online,L,50,strict,7.6
DC,2015,1,online,R,50,strict,0.6
DC,2015,2,online,R,50,strict,1.6
DC,2015,3,online,R,50,strict,2.6
DC,2015,4,online,R,50,strict,3.6
DC,2015,1,tv,L,75,lenient,7
DC,2015,2,tv,L,75,lenient,17
DC,2015,3,tv,L,75,lenient,27
DC,2015,4,tv,L,75,lenient,37
DC,2015,1,tv,R,75,lenient,2
DC,2015,2,tv,R,75,lenient,7
DC,2015,3,tv,R,75,lenient,12
DC,2015,4,tv,R,75,lenient,17
DC,2015,1,online,L,75,lenient,1
DC,2015,2,online,L,75,lenient,3
DC,2015,3,online,L,75,lenient,5
DC,2015,4,online,L,75,lenient,7
DC,2015,1,online,R,75,lenient,0.5
DC,2015,2,online,R,75,lenient,1
DC,2015,3,online,R,75,lenient,2
DC,2015,4,online,R,75,lenient,3
DC,2015,1,tv,L,75,strict,6.6
DC,2015,2,tv,L,75,strict,16.6
DC,2015,3,tv,L,75,strict,26.6
DC,2015,4,tv,L,75,strict,36.6
DC,2015,1,tv,R,75,strict,1.6
DC,2015,2,tv,R,75,strict,6.6
DC,2015,3,tv,R,75,strict,11.6
DC,2015,4,tv,R,75,strict,16.6
DC,2015,1,online,L,75,strict,0.6
DC,2015,2,online,L,75,strict,2.6
DC,2015,3,online,L,75,strict,4.6
DC,2015,4,online,L,75,strict,6.6
DC,2015,1,online,R,75,strict,0.1
DC,2015,2,online,R,75,strict,0.6
DC,2015,3,online,R,75,strict,1.6
DC,2015,4,online,R,75,strict,2.6
DE,2015,1,tv,L,50,lenient,9.8
DE,2015,2,tv,L,50,lenient,19.8
DE,2015,3,tv,L,50,lenient,29.8
DE,2015,4,tv,L,50,lenient,39.8
DE,2015,1,tv,R,50,lenient,4.8
DE,2015,2,tv,R,50,lenient,9.8
DE,2015,3,tv,R,50,lenient,14.8
DE,2015,4,tv,R,50,lenient,19.8
DE,2015,1,online,L,50,lenient,1.8
DE,2015,2,online,L,50,lenient,3.8
DE,2015,3,online,L,50,lenient,5.8
DE,2015,4,online,L,50,lenient,7.8
DE,2015,1,online,R,50,lenient,0.8
DE,2015,2,online,R,50,lenient,1.8
DE,2015,3,online,R,50,lenient,2.8
DE,2015,4,online,R,50,lenient,3.8
DE,2015,1,tv,L,50,strict,9.4
DE,2015,2,tv,L,50,strict,19.4
DE,2015,3,tv,L,50,strict,29.4
DE,2015,4,tv,L,50,strict,39.4
DE,2015,1,tv,R,50,strict,4.4
DE,2015,2,tv,R,50,strict,9.4
DE,2015,3,tv,R,50,strict,14.4
DE,2015,4,tv,R,50,strict,19.4
DE,2015,1,online,L,50,strict,1.4
DE,2015,2,online,L,50,strict,3.4
DE,2015,3,online,L,50,strict,5.4
DE,2015,4,online,L,50,strict,7.4
DE,2015,1,online,R,50,strict,0.4
DE,2015,2,online,R,50,strict,1.4
DE,2015,3,online,R,50,strict,2.4
DE,2015,4,online,R,50,strict,3.4
DE,2015,1,tv,L,75,lenient,6.8
DE,2015,2,tv,L,75,lenient,16.8
DE,2015,3,tv,L,75,lenient,26.8
DE,2015,4,tv,L,75,lenient,36.8
DE,2015,1,tv,R,75,lenient,1.8
DE,2015,2,tv,R,75,lenient,6.8
DE,2015,3,tv,R,75,lenient,11.8
DE,2015,4,tv,R,75,lenient,16.8
DE,2015,1,online,L,75,lenient,0.8
DE,2015,2,online,L,75,lenient,2.8
DE,2015,3,online,L,75,lenient,4.8
DE,2015,4,online,L,75,lenient,6.8
DE,2015,1,online,R,75,lenient,0.3
DE,2015,2,online,R,75,lenient,0.8
DE,2015,3,online,R,75,lenient,1.8
DE,2015,4,online,R,75,lenient,2.8
DE,2015,1,tv,L,75,strict,6.4
DE,2015,2,tv,L,75,strict,16.4
DE,2015,3,tv,L,75,strict,26.4
DE,2015,4,tv,L,75,strict,36.4
DE,2015,1,tv,R,75,strict,1.4
DE,2015,2,tv,R,75,strict,6.4
DE,2015,3,tv,R,75,strict,11.4
DE,2015,4,tv,R,75,strict,16.4
DE,2015,1,online,L,75,strict,0.4
DE,2015,2,online,L,75,strict,2.4
DE,2015,3,online,L,75,strict,4.4
DE,2015,4,online,L,75,strict,6.4
DE,2015,1,online,R,75,strict,0
DE,2015,2,online,R,75,strict,0.4
DE,2015,3,online,R,75,strict,1.4
DE,2015,4,online,R,75,strict,2.4
FL,2015,1,tv,L,50,lenient,10
FL,2015,2,tv,L,50,lenient,20
FL,2015,3,tv,L,50,lenient,30
FL,2015,4,tv,L,50,lenient,40
FL,2015,1,tv,R,50,lenient,5
FL,2015,2,tv,R,50,lenient,10
FL,2015,3,tv,R,50,lenient,15
FL,2015,4,tv,R,50,lenient,20
FL,2015,1,online,L,50,lenient,2
FL,2015,2,online,L,50,lenient,4
FL,2015,3,online,L,50,lenient,6
FL,2015,4,online,L,50,lenient,8
FL,2015,1,online,R,50,lenient,1
FL,2015,2,online,R,50,lenient,2
FL,2015,3,online,R,50,lenient,3
FL,2015,4,online,R,50,lenient,4
FL,2015,1,tv,L,50,strict,9.6
FL,2015,2,tv,L,50,strict,19.6
FL,2015,3,tv,L,50,strict,29.6
FL,2015,4,tv,L,50,strict,39.6
FL,2015,1,tv,R,50,strict,4.6
FL,2015,2,tv,R,50,strict,9.6
FL,2015,3,tv,R,50,strict,14.6
FL,2015,4,tv,R,50,strict,19.6
FL,2015,1,online,L,50,strict,1.6
FL,2015,2,online,L,50,strict,3.6
FL,2015,3,online,L,50,strict,5.6
FL,2015,4,online,L,50,strict,7.6
FL,2015,1,online,R,50,strict,0.6
FL,2015,2,online,R,50,strict,1.6
FL,2015,3,online,R,50,strict,2.6
FL,2015,4,online,R,50,strict,3.6
FL,2015,1,tv,L,75,lenient,7
FL,2015,2,tv,L,75,lenient,17
FL,2015,3,tv,L,75,lenient,27
FL,2015,4,tv,L,75,lenient,37
FL,2015,1,tv,R,75,lenient,2
FL,2015,2,tv,R,75,lenient,7
FL,2015,3,tv,R,75,lenient,12
FL,2015,4,tv,R,75,lenient,17
FL,2015,1,online,L,75,lenient,1
FL,2015,2,online,L,75,lenient,3
FL,2015,3,online,L,75,lenient,5
FL,2015,4,online,L,75,lenient,7
FL,2015,1,online,R,75,lenient,0.5
FL,2015,2,online,R,75,lenient,1
FL,2015,3,online,R,75,lenient,2
FL,2015,4,online,R,75,lenient,3
FL,2015,1,tv,L,75,strict,6.6
FL,2015,2,tv,L,75,strict,16.6
FL,2015,3,tv,L,75,strict,26.6
FL,2015,4,tv,L,75,strict,36.6
FL,2015,1,tv,R,75,strict,1.6
FL,2015,2,tv,R,75,strict,6.6
FL,2015,3,tv,R,75,strict,11.6
FL,2015,4,tv,R,75,strict,16.6
FL,2015,1,online,L,75,strict,0.6
FL,2015,2,online,L,75,strict,2.6
FL,2015,3,online,L,75,strict,4.6
FL,2015,4,online,L,75,strict,6.6
FL,2015,1,online,R,75,strict,0.1
FL,2015,2,online,R,75,strict,0.6
FL,2015,3,online,R,75,strict,1.6
FL,2015,4,online,R,75,strict,2.6
GA,2015,1,tv,L,50,lenient,9.8
GA,2015,2,tv,L,50,lenient,19.8
GA,2015,3,tv,L,50,lenient,29.8
GA,2015,4,tv,L,50,lenient,39.8
