period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct,left_size,right_size
Last 12 months,DC,tv,stringent,50,0.0390,0.0042,19237.6625,2060.7319
Last 12 months,DC,web,lenient,50,0.0136,0.0070,2848.4167,1365.5833
Last 12 months,DC,web,stringent,50,0.0044,0.0061,989.7500,1220.2500
Last 12 months,DE,tv,lenient,50,0.1029,0.0756,82390.3839,60771.1142
Last 12 months,DE,tv,stringent,50,0.0422,0.0756,33683.8936,60771.1142
Last 12 months,DE,web,lenient,50,0.0152,0.0111,12927.0000,10058.9167
Last 12 months,DE,web,stringent,50,0.0089,0.0021,7413.0000,1696.5833
Last 12 months,FL,tv,lenient,50,0.0731,0.1001,1294088.8922,1771932.4462
Last 12 months,FL,tv,stringent,50,0.0293,0.1001,519363.5615,1771932.4462
Last 12 months,FL,web,lenient,50,0.0128,0.0166,161693.9167,209363.8333
Last 12 months,FL,web,stringent,50,0.0040,0.0041,50294.4167,51219.0833
Last 12 months,GA,tv,lenient,50,0.0643,0.0794,582459.7263,719063.7752
Last 12 months,GA,tv,stringent,50,0.0246,0.0794,222549.0231,719063.7752
Last 12 months,GA,web,lenient,50,0.0119,0.0091,77167.4167,58984.4167
Last 12 months,GA,web,stringent,50,0.0048,0.0037,31211.8333,23664.8333
Last 12 months,HI,tv,lenient,50,0.0889,0.0848,78892.2950,74180.7563
Last 12 months,HI,tv,stringent,50,0.0533,0.0848,47401.7683,74180.7563
Last 12 months,HI,web,lenient,50,0.0084,0.0073,4709.5000,4257.7500
Last 12 months,HI,web,stringent,50,0.0007,0.0073,393.9167,4257.7500
Last 12 months,IA,tv,lenient,50,0.0495,0.0913,122555.8308,225794.9151
Last 12 months,IA,tv,stringent,50,0.0191,0.0913,47530.3391,225794.9151
Last 12 months,IA,web,lenient,50,0.0193,0.0213,31331.0833,34994.5000
Last 12 months,IA,web,stringent,50,0.0065,0.0045,10621.7500,7165.2500
Last 12 months,ID,tv,lenient,50,0.0311,0.1148,49360.5063,183565.2238
Last 12 months,ID,tv,stringent,50,0.0115,0.1148,18441.0072,183565.2238
Last 12 months,ID,web,lenient,50,0.0190,0.0227,16513.1667,19590.3333
Last 12 months,ID,web,stringent,50,0.0047,0.0120,4274.2500,10341.2500
Last 12 months,IL,tv,lenient,50,0.0675,0.0709,695229.3006,728736.5479
Last 12 months,IL,tv,stringent,50,0.0290,0.0709,298153.6632,728736.5479
Last 12 months,IL,web,lenient,50,0.0171,0.0061,133170.1667,47385.1667
Last 12 months,IL,web,stringent,50,0.0066,0.0023,51501.9167,18144.6667
Last 12 months,IN,tv,lenient,50,0.0504,0.0805,282732.2293,450089.3044
Last 12 months,IN,tv,stringent,50,0.0223,0.0805,125178.6704,450089.3044
Last 12 months,IN,web,lenient,50,0.0161,0.0143,66501.0000,58522.6667
Last 12 months,IN,web,stringent,50,0.0052,0.0044,21478.7500,17944.7500
Last 12 months,KS,tv,lenient,50,0.0495,0.0864,132754.1472,231382.9199
Last 12 months,KS,tv,stringent,50,0.0159,0.0864,42726.6869,231382.9199
Last 12 months,KS,web,lenient,50,0.0125,0.0103,18218.8333,15755.9167
Last 12 months,KS,web,stringent,50,0.0025,0.0016,3799.1667,2213.8333
Last 12 months,KY,tv,lenient,50,0.0481,0.1044,180370.9061,391343.3171
Last 12 months,KY,tv,stringent,50,0.0166,0.1044,62120.5115,391343.3171
Last 12 months,KY,web,lenient,50,0.0151,0.0138,38052.5833,34292.7500
Last 12 months,KY,web,stringent,50,0.0054,0.0084,13659.5833,20954.0833
Last 12 months,LA,tv,lenient,50,0.0613,0.1045,246507.3919,420115.6366
Last 12 months,LA,tv,stringent,50,0.0305,0.1045,122799.5140,420115.6366
Last 12 months,LA,web,lenient,50,0.0130,0.0075,26072.6667,14839.6667
Last 12 months,LA,web,stringent,50,0.0056,0.0030,10741.2500,5891.2500
Last 12 months,MA,tv,lenient,50,0.1142,0.0582,676619.8205,344472.8063
Last 12 months,MA,tv,stringent,50,0.0387,0.0582,229550.4392,344472.8063
Last 12 months,MA,web,lenient,50,0.0238,0.0025,101099.5833,10119.9167
Last 12 months,MA,web,stringent,50,0.0137,0.0009,58045.0000,3595.5000
Last 12 months,MD,tv,lenient,50,0.1102,0.0654,584631.1278,347836.3590
Last 12 months,MD,tv,stringent,50,0.0407,0.0654,215767.9834,347836.3590
Last 12 months,MD,web,lenient,50,0.0167,0.0116,70518.0833,48923.3333
Last 12 months,MD,web,stringent,50,0.0065,0.0024,27315.0833,10111.0000
Last 12 months,ME,tv,lenient,50,0.0450,0.1022,51685.7691,118022.4235
Last 12 months,ME,tv,stringent,50,0.0178,0.1022,20560.3165,118022.4235
Last 12 months,ME,web,lenient,50,0.0537,0.0106,43728.6667,8126.9167
Last 12 months,ME,web,stringent,50,0.0126,0.0013,10489.1667,1153.4167
Last 12 months,MI,tv,lenient,50,0.0709,0.0857,580454.1345,701912.5299
Last 12 months,MI,tv,stringent,50,0.0294,0.0857,240677.0595,701912.5299
Last 12 months,MI,web,lenient,50,0.0187,0.0134,109610.6667,78386.0000
Last 12 months,MI,web,stringent,50,0.0054,0.0056,32071.6667,32363.6667
Last 12 months,MN,tv,lenient,50,0.0657,0.0646,306663.1114,300953.3288
Last 12 months,MN,tv,stringent,50,0.0292,0.0646,136437.3721,300953.3288
Last 12 months,MN,web,lenient,50,0.0201,0.0185,69902.6667,64862.1667
Last 12 months,MN,web,stringent,50,0.0058,0.0089,20274.4167,31222.8333
Last 12 months,MO,tv,lenient,50,0.0626,0.0994,314045.3533,499054.2994
Last 12 months,MO,tv,stringent,50,0.0289,0.0994,145267.4871,499054.2994
Last 12 months,MO,web,lenient,50,0.0172,0.0170,66785.3333,66405.3333
Last 12 months,MO,web,stringent,50,0.0043,0.0072,16658.9167,27990.6667
Last 12 months,MS,tv,lenient,50,0.0406,0.0938,96733.8948,222245.5176
Last 12 months,MS,tv,stringent,50,0.0200,0.0938,47722.8711,222245.5176
Last 12 months,MS,web,lenient,50,0.0163,0.0117,29678.6667,21448.0000
Last 12 months,MS,web,stringent,50,0.0066,0.0041,12283.5833,7803.9167
Last 12 months,MT,tv,lenient,50,0.0333,0.1309,24332.4744,97300.9396
Last 12 months,MT,tv,stringent,50,0.0202,0.1309,14560.7784,97300.9396
Last 12 months,MT,web,lenient,50,0.0437,0.0537,22825.2500,30233.0833
Last 12 months,MT,web,stringent,50,0.0260,0.0108,13864.1667,5632.6667
Last 12 months,NC,tv,lenient,50,0.0737,0.0819,666438.6453,740717.0381
Last 12 months,NC,tv,stringent,50,0.0266,0.0819,240938.9585,740717.0381
Last 12 months,NC,web,lenient,50,0.0129,0.0134,71232.2500,75157.6667
Last 12 months,NC,web,stringent,50,0.0055,0.0068,30663.5000,37889.7500
Last 12 months,ND,tv,lenient,50,0.0209,0.1541,11495.3365,82368.5247
Last 12 months,ND,tv,stringent,50,0.0063,0.1541,3479.5518,82368.5247
Last 12 months,ND,web,lenient,50,0.0331,0.0052,10209.9167,1750.3333
Last 12 months,ND,web,stringent,50,0.0012,0.0043,431.6667,1489.3333
Last 12 months,NE,tv,lenient,50,0.0304,0.1293,48666.5492,207099.9751
Last 12 months,NE,tv,stringent,50,0.0146,0.1293,23643.9097,207099.9751
Last 12 months,NE,web,lenient,50,0.0203,0.0230,21540.5833,25649.0000
Last 12 months,NE,web,stringent,50,0.0066,0.0064,7037.7500,6975.6667
Last 12 months,NH,tv,lenient,50,0.0697,0.0853,73994.8310,89600.6332
Last 12 months,NH,tv,stringent,50,0.0273,0.0853,29125.9538,89600.6332
Last 12 months,NH,web,lenient,50,0.0147,0.0099,16578.9167,11153.6667
Last 12 months,NH,web,stringent,50,0.0046,0.0002,5710.5833,206.2500
Last 12 months,NJ,tv,lenient,50,0.0853,0.0948,714261.5149,794086.2451
Last 12 months,NJ,tv,stringent,50,0.0303,0.0948,254339.8529,794086.2451
Last 12 months,NJ,web,lenient,50,0.0149,0.0084,90426.0000,51098.5000
Last 12 months,NJ,web,stringent,50,0.0049,0.0017,29726.5833,10128.4167
Last 12 months,NM,tv,lenient,50,0.0730,0.0654,122552.1037,109771.3585
Last 12 months,NM,tv,stringent,50,0.0295,0.0654,49562.7110,109771.3585
Last 12 months,NM,web,lenient,50,0.0228,0.0073,18855.6667,6084.0833
Last 12 months,NM,web,stringent,50,0.0107,0.0031,8891.1667,2583.6667
Last 12 months,NV,tv,lenient,50,0.0965,0.1018,252508.0626,266067.4248
Last 12 months,NV,tv,stringent,50,0.0483,0.1018,126419.7341,266067.4248
Last 12 months,NV,web,lenient,50,0.0232,0.0148,38331.1667,23562.4167
Last 12 months,NV,web,stringent,50,0.0090,0.0026,15029.0000,4050.2500
Last 12 months,NY,tv,lenient,50,0.1119,0.0741,1807784.4582,1196427.6850
Last 12 months,NY,tv,stringent,50,0.0529,0.0741,854773.9992,1196427.6850
Last 12 months,NY,web,lenient,50,0.0151,0.0065,175453.9167,75465.5833
Last 12 months,NY,web,stringent,50,0.0054,0.0030,63149.2500,34766.4167
Last 12 months,OH,tv,lenient,50,0.0611,0.1001,604670.6357,990035.2159
Last 12 months,OH,tv,stringent,50,0.0267,0.1001,264020.6266,990035.2159
Last 12 months,OH,web,lenient,50,0.0142,0.0086,98868.6667,60390.9167
Last 12 months,OH,web,stringent,50,0.0059,0.0027,41054.6667,18953.2500
Last 12 months,OK,tv,lenient,50,0.0450,0.1098,144330.7001,353582.2061
Last 12 months,OK,tv,stringent,50,0.0153,0.1098,49282.0633,353582.2061
Last 12 months,OK,web,lenient,50,0.0135,0.0163,30040.0833,36669.0000
Last 12 months,OK,web,stringent,50,0.0033,0.0033,7225.8333,7376.5000
Last 12 months,OR,tv,lenient,50,0.0571,0.0837,203204.0127,297874.0875
Last 12 months,OR,tv,stringent,50,0.0283,0.0837,100963.3859,297874.0875
Last 12 months,OR,web,lenient,50,0.0195,0.0099,48419.2500,25084.4167
Last 12 months,OR,web,stringent,50,0.0091,0.0048,22505.0000,11912.4167
Last 12 months,PA,tv,lenient,50,0.0957,0.1131,1033140.2651,1220717.6601
Last 12 months,PA,tv,stringent,50,0.0424,0.1131,457733.0842,1220717.6601
Last 12 months,PA,web,lenient,50,0.0170,0.0133,132088.9167,103598.5833
Last 12 months,PA,web,stringent,50,0.0080,0.0064,62136.5833,49591.3333
Last 12 months,RI,tv,lenient,50,0.0829,0.0737,79574.6514,70717.9829
Last 12 months,RI,tv,stringent,50,0.0297,0.0737,28455.7413,70717.9829
Last 12 months,RI,web,lenient,50,0.0274,0.0124,12269.5000,4964.7500
Last 12 months,RI,web,stringent,50,0.0059,0.0000,2739.5000,0.0000
Last 12 months,SC,tv,lenient,50,0.0574,0.1260,263553.3960,577996.1248
Last 12 months,SC,tv,stringent,50,0.0267,0.1260,122642.4204,577996.1248
Last 12 months,SC,web,lenient,50,0.0099,0.0083,28965.5833,23388.2500
Last 12 months,SC,web,stringent,50,0.0040,0.0033,11850.5833,9101.5833
Last 12 months,SD,tv,lenient,50,0.0998,0.1664,74255.8109,124762.2497
Last 12 months,SD,tv,stringent,50,0.0663,0.1664,49360.3284,124762.2497
Last 12 months,SD,web,lenient,50,0.0220,0.0446,9272.0000,19407.0833
Last 12 months,SD,web,stringent,50,0.0060,0.0428,2395.3333,18647.0833
Last 12 months,TN,tv,lenient,50,0.0516,0.1142,303979.3025,673483.7878
Last 12 months,TN,tv,stringent,50,0.0219,0.1142,129029.9752,673483.7878
Last 12 months,TN,web,lenient,50,0.0173,0.0290,54332.0833,93057.2500
Last 12 months,TN,web,stringent,50,0.0090,0.0036,28174.7500,11722.9167
Last 12 months,TX,tv,lenient,50,0.0545,0.0747,1326780.8317,1817394.9557
Last 12 months,TX,tv,stringent,50,0.0208,0.0747,505442.3230,1817394.9557
Last 12 months,TX,web,lenient,50,0.0155,0.0121,252847.0000,196544.0833
Last 12 months,TX,web,stringent,50,0.0053,0.0044,86107.5833,71204.6667
Last 12 months,UT,tv,lenient,50,0.0505,0.0959,134486.6760,255559.0331
Last 12 months,UT,tv,stringent,50,0.0144,0.0959,38496.2789,255559.0331
Last 12 months,UT,web,lenient,50,0.0134,0.1058,19789.7500,141017.5000
Last 12 months,UT,web,stringent,50,0.0028,0.0016,3961.5833,2217.9167
Last 12 months,VA,tv,lenient,50,0.0854,0.1018,624959.9362,744982.4557
Last 12 months,VA,tv,stringent,50,0.0307,0.1018,224939.9213,744982.4557
Last 12 months,VA,web,lenient,50,0.0234,0.0148,105896.8333,67209.2500
Last 12 months,VA,web,stringent,50,0.0122,0.0052,54806.1667,23477.3333
Last 12 months,VT,tv,lenient,50,0.1357,0.0702,81980.3535,42539.0189
Last 12 months,VT,tv,stringent,50,0.1013,0.0702,61147.5885,42539.0189
Last 12 months,VT,web,lenient,50,0.0197,0.0166,7548.0833,6116.2500
Last 12 months,VT,web,stringent,50,0.0014,0.0053,505.5833,1821.0833
Last 12 months,WA,tv,lenient,50,0.0698,0.0785,462140.3937,519461.6323
Last 12 months,WA,tv,stringent,50,0.0307,0.0785,203274.0415,519461.6323
Last 12 months,WA,web,lenient,50,0.0209,0.0173,102060.1667,84886.9167
Last 12 months,WA,web,stringent,50,0.0045,0.0046,22517.1667,22886.8333
Last 12 months,WI,tv,lenient,50,0.0475,0.0963,244124.6170,495027.2306
Last 12 months,WI,tv,stringent,50,0.0223,0.0963,114777.6991,495027.2306
Last 12 months,WI,web,lenient,50,0.0199,0.0169,68081.5000,57458.8333
Last 12 months,WI,web,stringent,50,0.0038,0.0094,13061.4167,31739.3333
Last 12 months,WV,tv,lenient,50,0.0477,0.1295,88565.0295,240888.7218
Last 12 months,WV,tv,stringent,50,0.0271,0.1295,50350.1757,240888.7218
Last 12 months,WV,web,lenient,50,0.0151,0.0168,17645.3333,19936.6667
Last 12 months,WV,web,stringent,50,0.0011,0.0018,1298.4167,2086.6667
Last 12 months,WY,tv,lenient,50,0.0193,0.0783,9129.7940,36326.7857
Last 12 months,WY,tv,stringent,50,0.0066,0.0783,3463.0460,36326.7857
Last 12 months,WY,web,lenient,50,0.0271,0.0055,12561.1667,2524.3333
Last 12 months,WY,web,stringent,50,0.0144,0.0036,6392.0833,1655.5833
Last 3 months,AK,tv,lenient,50,0.1250,0.0899,52975.6455,38118.3223
Last 3 months,AK,tv,stringent,50,0.1080,0.0899,45784.3872,38118.3223
Last 3 months,AK,web,lenient,50,0.0297,0.0782,9026.0000,24281.6667
Last 3 months,AK,web,stringent,50,0.0000,0.0589,0.0000,18356.3333
Last 3 months,AL,tv,lenient,50,0.0442,0.1206,179896.1938,490229.9342
Last 3 months,AL,tv,stringent,50,0.0146,0.1206,59283.9678,490229.9342
Last 3 months,AL,web,lenient,50,0.0087,0.0166,21836.0000,41848.0000
Last 3 months,AL,web,stringent,50,0.0021,0.0054,5234.6667,13742.0000
Last 3 months,AR,tv,lenient,50,0.0372,0.1369,89546.4833,329372.3553
Last 3 months,AR,tv,stringent,50,0.0113,0.1369,27248.9032,329372.3553
Last 3 months,AR,web,lenient,50,0.0120,0.0249,21278.3333,44151.0000
Last 3 months,AR,web,stringent,50,0.0074,0.0047,13420.6667,8532.3333
Last 3 months,AZ,tv,lenient,50,0.0733,0.0685,442245.8701,413162.8737
Last 3 months,AZ,tv,stringent,50,0.0285,0.0685,171886.7742,413162.8737
Last 3 months,AZ,web,lenient,50,0.0250,0.0192,105861.3333,81521.6667
Last 3 months,AZ,web,stringent,50,0.0079,0.0079,33378.3333,33545.6667
Last 3 months,CA,tv,lenient,50,0.0735,0.0579,2356942.0292,1858330.1611
Last 3 months,CA,tv,stringent,50,0.0331,0.0579,1061290.1274,1858330.1611
Last 3 months,CA,web,lenient,50,0.0229,0.0109,517610.6667,244829.3333
Last 3 months,CA,web,stringent,50,0.0083,0.0036,186642.6667,80674.0000
Last 3 months,CO,tv,lenient,50,0.0578,0.0607,257865.2901,270899.2583
Last 3 months,CO,tv,stringent,50,0.0249,0.0607,111263.5804,270899.2583
Last 3 months,CO,web,lenient,50,0.0163,0.0111,60864.3333,40765.3333
Last 3 months,CO,web,stringent,50,0.0057,0.0004,20890.6667,1534.0000
Last 3 months,CT,tv,lenient,50,0.0682,0.0858,203700.5491,256140.0323
Last 3 months,CT,tv,stringent,50,0.0263,0.0858,78521.1934,256140.0323
Last 3 months,CT,web,lenient,50,0.0135,0.0153,30269.3333,34282.3333
Last 3 months,CT,web,stringent,50,0.0035,0.0000,7908.6667,0.0000
Last 3 months,DC,tv,lenient,50,0.0531,0.0000,26092.0320,0.0000
Last 3 months,DC,tv,stringent,50,0.0087,0.0000,4252.4517,0.0000
Last 3 months,DC,web,lenient,50,0.0193,0.0059,4108.6667,1159.3333
Last 3 months,DC,web,stringent,50,0.0073,0.0059,1773.0000,1159.3333
Last 3 months,DE,tv,lenient,50,0.0990,0.0741,82535.3228,61761.1610
Last 3 months,DE,tv,stringent,50,0.0404,0.0741,33662.0643,61761.1610
Last 3 months,DE,web,lenient,50,0.0305,0.0070,26449.3333,6735.3333
Last 3 months,DE,web,stringent,50,0.0144,0.0005,12058.0000,461.6667
Last 3 months,FL,tv,lenient,50,0.0685,0.0975,1239848.6424,1764462.6435
Last 3 months,FL,tv,stringent,50,0.0286,0.0975,516840.4182,1764462.6435
Last 3 months,FL,web,lenient,50,0.0139,0.0163,181151.0000,211336.0000
Last 3 months,FL,web,stringent,50,0.0054,0.0018,70031.3333,23927.0000
Last 3 months,GA,tv,lenient,50,0.0635,0.0793,577522.8072,721344.5467
Last 3 months,GA,tv,stringent,50,0.0232,0.0793,211009.5170,721344.5467
Last 3 months,GA,web,lenient,50,0.0124,0.0071,84731.6667,48736.6667
Last 3 months,GA,web,stringent,50,0.0056,0.0035,38114.6667,23738.0000
Last 3 months,HI,tv,lenient,50,0.1133,0.0615,105398.1602,57179.2581
Last 3 months,HI,tv,stringent,50,0.0928,0.0615,86348.2251,57179.2581
Last 3 months,HI,web,lenient,50,0.0124,0.0000,6480.0000,0.0000
Last 3 months,HI,web,stringent,50,0.0002,0.0000,83.0000,0.0000
Last 3 months,IA,tv,lenient,50,0.0595,0.1058,148786.8076,264356.7412
Last 3 months,IA,tv,stringent,50,0.0207,0.1058,51613.8066,264356.7412
Last 3 months,IA,web,lenient,50,0.0106,0.0167,19209.6667,29034.6667
Last 3 months,IA,web,stringent,50,0.0039,0.0050,7156.3333,8324.6667
Last 3 months,ID,tv,lenient,50,0.0290,0.1133,46390.6123,181029.3228
Last 3 months,ID,tv,stringent,50,0.0111,0.1133,17695.2900,181029.3228
Last 3 months,ID,web,lenient,50,0.0164,0.0359,14975.3333,32962.0000
Last 3 months,ID,web,stringent,50,0.0068,0.0145,6983.6667,13146.0000
Last 3 months,IL,tv,lenient,50,0.0542,0.0716,558851.6101,737838.8380
Last 3 months,IL,tv,stringent,50,0.0220,0.0716,226743.9022,737838.8380
Last 3 months,IL,web,lenient,50,0.0155,0.0062,120974.3333,48299.3333
Last 3 months,IL,web,stringent,50,0.0080,0.0022,62420.3333,17253.0000
Last 3 months,IN,tv,lenient,50,0.0423,0.0699,242223.1612,400000.9347
Last 3 months,IN,tv,stringent,50,0.0158,0.0699,90438.6454,400000.9347
Last 3 months,IN,web,lenient,50,0.0157,0.0155,63309.3333,62373.6667
Last 3 months,IN,web,stringent,50,0.0048,0.0047,19783.6667,19295.6667
Last 3 months,KS,tv,lenient,50,0.0395,0.0802,103380.4847,210104.1926
Last 3 months,KS,tv,stringent,50,0.0107,0.0802,28094.8063,210104.1926
Last 3 months,KS,web,lenient,50,0.0111,0.0127,17362.3333,19995.3333
Last 3 months,KS,web,stringent,50,0.0007,0.0005,1164.6667,770.6667
Last 3 months,KY,tv,lenient,50,0.0398,0.0940,146659.9998,346226.0970
Last 3 months,KY,tv,stringent,50,0.0158,0.0940,58243.4517,346226.0970
Last 3 months,KY,web,lenient,50,0.0164,0.0039,42696.3333,9140.3333
Last 3 months,KY,web,stringent,50,0.0039,0.0000,10235.3333,83.0000
Last 3 months,LA,tv,lenient,50,0.0489,0.1129,196150.9350,452765.6437
Last 3 months,LA,tv,stringent,50,0.0232,0.1129,92865.6450,452765.6437
Last 3 months,LA,web,lenient,50,0.0136,0.0089,29213.0000,19097.6667
Last 3 months,LA,web,stringent,50,0.0060,0.0020,12654.0000,4199.3333
Last 3 months,MA,tv,lenient,50,0.1021,0.0491,606814.4846,291592.3234
Last 3 months,MA,tv,stringent,50,0.0388,0.0491,230546.7097,291592.3234
Last 3 months,MA,web,lenient,50,0.0203,0.0026,85574.6667,11256.0000
Last 3 months,MA,web,stringent,50,0.0123,0.0015,51575.3333,6477.3333
Last 3 months,MD,tv,lenient,50,0.1033,0.0533,542004.0328,279675.1924
Last 3 months,MD,tv,stringent,50,0.0406,0.0533,212989.1943,279675.1924
Last 3 months,MD,web,lenient,50,0.0141,0.0100,61973.6667,43831.3333
Last 3 months,MD,web,stringent,50,0.0054,0.0003,23681.0000,1535.3333
Last 3 months,ME,tv,lenient,50,0.0498,0.0810,48748.0972,79291.4507
Last 3 months,ME,tv,stringent,50,0.0185,0.0810,18139.6123,79291.4507
Last 3 months,ME,web,lenient,50,0.0272,0.0107,20420.6667,7849.6667
Last 3 months,ME,web,stringent,50,0.0015,0.0000,1154.0000,0.0000
Last 3 months,MI,tv,lenient,50,0.0611,0.0784,518416.1944,664576.3233
Last 3 months,MI,tv,stringent,50,0.0222,0.0784,187962.8708,664576.3233
Last 3 months,MI,web,lenient,50,0.0237,0.0090,139576.3333,52997.6667
Last 3 months,MI,web,stringent,50,0.0061,0.0019,35455.6667,11277.6667
Last 3 months,MN,tv,lenient,50,0.0456,0.0524,196053.3544,225207.3215
Last 3 months,MN,tv,stringent,50,0.0157,0.0524,67411.1934,225207.3215
Last 3 months,MN,web,lenient,50,0.0264,0.0134,90741.6667,46217.3333
Last 3 months,MN,web,stringent,50,0.0061,0.0093,20698.3333,31786.0000
Last 3 months,MO,tv,lenient,50,0.0644,0.0985,333965.5816,510525.5806
Last 3 months,MO,tv,stringent,50,0.0311,0.0985,160909.2901,510525.5806
Last 3 months,MO,web,lenient,50,0.0103,0.0144,41223.6667,57736.6667
Last 3 months,MO,web,stringent,50,0.0049,0.0010,19472.3333,4173.0000
Last 3 months,MS,tv,lenient,50,0.0294,0.0796,64155.3542,173881.5811
Last 3 months,MS,tv,stringent,50,0.0140,0.0796,30655.1609,173881.5811
Last 3 months,MS,web,lenient,50,0.0274,0.0194,54784.0000,37425.6667
Last 3 months,MS,web,stringent,50,0.0123,0.0091,24492.0000,18518.3333
Last 3 months,MT,tv,lenient,50,0.0448,0.2049,31437.9351,143758.9995
Last 3 months,MT,tv,stringent,50,0.0335,0.2049,23485.5479,143758.9995
Last 3 months,MT,web,lenient,50,0.0272,0.0760,18266.3333,49513.3333
Last 3 months,MT,web,stringent,50,0.0207,0.0104,13901.3333,6410.6667
Last 3 months,NC,tv,lenient,50,0.0667,0.0749,617311.1930,692862.2887
Last 3 months,NC,tv,stringent,50,0.0282,0.0749,260987.1612,692862.2887
Last 3 months,NC,web,lenient,50,0.0154,0.0127,87224.0000,71747.3333
Last 3 months,NC,web,stringent,50,0.0058,0.0049,32841.6667,27903.0000
Last 3 months,ND,tv,lenient,50,0.0000,0.1372,0.0000,77812.4846
Last 3 months,ND,tv,stringent,50,0.0000,0.1372,0.0000,77812.4846
Last 3 months,ND,web,lenient,50,0.0402,0.0170,12786.6667,5957.3333
Last 3 months,ND,web,stringent,50,0.0011,0.0170,387.3333,5957.3333
Last 3 months,NE,tv,lenient,50,0.0231,0.1696,36165.9027,265614.5800
Last 3 months,NE,tv,stringent,50,0.0124,0.1696,19350.6771,265614.5800
Last 3 months,NE,web,lenient,50,0.0267,0.0090,28280.3333,10591.6667
Last 3 months,NE,web,stringent,50,0.0132,0.0014,13966.0000,1564.6667
Last 3 months,NH,tv,lenient,50,0.0815,0.0624,90550.1279,69266.3869
Last 3 months,NH,tv,stringent,50,0.0396,0.0624,43959.6771,69266.3869
Last 3 months,NH,web,lenient,50,0.0173,0.0011,19329.6667,1150.0000
Last 3 months,NH,web,stringent,50,0.0053,0.0004,6499.6667,387.3333
Last 3 months,NJ,tv,lenient,50,0.0854,0.0910,711770.7420,758823.3876
Last 3 months,NJ,tv,stringent,50,0.0322,0.0910,268172.7099,758823.3876
Last 3 months,NJ,web,lenient,50,0.0162,0.0097,101805.6667,60944.3333
Last 3 months,NJ,web,stringent,50,0.0049,0.0010,30894.6667,6331.3333
Last 3 months,NM,tv,lenient,50,0.0711,0.0648,118192.6127,107616.2578
Last 3 months,NM,tv,stringent,50,0.0360,0.0648,59882.5804,107616.2578
Last 3 months,NM,web,lenient,50,0.0324,0.0137,27483.6667,12569.3333
Last 3 months,NM,web,stringent,50,0.0246,0.0071,20995.0000,6382.6667
Last 3 months,NV,tv,lenient,50,0.0917,0.1088,237852.4168,282157.5819
Last 3 months,NV,tv,stringent,50,0.0492,0.1088,127490.9349,282157.5819
Last 3 months,NV,web,lenient,50,0.0286,0.0132,46047.3333,19700.3333
Last 3 months,NV,web,stringent,50,0.0083,0.0005,13171.0000,754.6667
Last 3 months,NY,tv,lenient,50,0.0970,0.0737,1562432.5502,1186878.2227
Last 3 months,NY,tv,stringent,50,0.0508,0.0737,817671.3874,1186878.2227
Last 3 months,NY,web,lenient,50,0.0178,0.0084,205056.6667,97069.0000
